date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-02-01,6,3,1,1,1,1,1,2
2026-02-02,6,3,1,1,1,1,1,2
2026-02-03,6,3,1,1,1,1,1,2
2026-02-04,6,3,1,1,1,1,0,2
2026-02-05,6,3,1,1,1,1,0,2
2026-02-06,0,0,1,1,1,0,0,0
2026-02-07,0,0,1,1,1,0,0,0
2026-02-08,6,3,1,1,1,1,1,2
2026-02-09,6,3,1,1,1,1,1,2
2026-02-10,6,3,1,1,1,1,0,2
2026-02-11,6,3,1,1,1,1,0,2
2026-02-12,6,3,1,1,1,1,1,2
2026-02-13,0,0,1,1,1,0,0,0
2026-02-14,0,0,1,1,1,0,0,0
2026-02-15,6,3,1,1,1,1,0,2
2026-02-16,6,3,1,1,1,1,1,2
2026-02-17,6,3,1,1,1,1,1,2
2026-02-18,6,3,1,1,1,1,1,2
2026-02-19,6,3,1,1,1,1,0,2
2026-02-20,0,0,1,1,1,0,0,0
2026-02-21,0,0,1,1,1,0,0,0
2026-02-22,6,3,1,1,1,1,1,2
2026-02-23,6,3,1,1,1,1,1,2
2026-02-24,6,3,1,1,1,1,0,2
2026-02-25,6,3,1,1,1,1,1,2
2026-02-26,6,3,1,1,1,1,0,2
2026-02-27,0,0,1,1,1,0,0,0
2026-02-28,0,0,1,1,1,0,0,0
