date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-11-01,0,0,1,1,1,0,0,0
2025-11-02,6,3,1,1,1,1,1,2
2025-11-03,6,3,1,1,1,1,1,2
2025-11-04,6,3,1,1,1,1,0,2
2025-11-05,6,3,1,1,1,1,1,2
2025-11-06,6,3,1,1,1,1,0,2
2025-11-07,0,0,1,1,1,0,0,0
2025-11-08,0,0,1,1,1,0,0,0
2025-11-09,6,3,1,1,1,1,0,2
2025-11-10,6,3,1,1,1,1,1,2
2025-11-11,6,3,1,1,1,1,1,2
2025-11-12,6,3,1,1,1,1,0,2
2025-11-13,6,3,1,1,1,1,1,2
2025-11-14,0,0,1,1,1,0,0,0
2025-11-15,0,0,1,1,1,0,0,0
2025-11-16,6,3,1,1,1,1,0,2
2025-11-17,6,3,1,1,1,1,1,2
2025-11-18,6,3,1,1,1,1,0,2
2025-11-19,6,3,1,1,1,1,1,2
2025-11-20,6,3,1,1,1,1,1,2
2025-11-21,0,0,1,1,1,0,0,0
2025-11-22,0,0,1,1,1,0,0,0
2025-11-23,6,3,1,1,1,1,1,2
2025-11-24,6,3,1,1,1,1,0,2
2025-11-25,6,3,1,1,1,1,1,2
2025-11-26,6,3,1,1,1,1,0,2
2025-11-27,6,3,1,1,1,1,1,2
2025-11-28,0,0,1,1,1,0,0,0
2025-11-29,0,0,1,1,1,0,0,0
2025-11-30,6,3,1,1,1,1,1,2
