date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-03-01,6,3,1,1,1,1,1,3
2026-03-02,6,3,1,1,1,1,0,3
2026-03-03,6,3,1,1,1,1,1,3
2026-03-04,6,3,1,1,1,1,1,3
2026-03-05,6,3,1,1,1,1,0,3
2026-03-06,0,0,1,1,1,0,0,0
2026-03-07,0,0,1,1,1,0,0,0
2026-03-08,6,3,1,1,1,1,0,3
2026-03-09,6,3,1,1,1,1,0,3
2026-03-10,6,3,1,1,1,1,1,3
2026-03-11,6,3,1,1,1,1,1,3
2026-03-12,6,3,1,1,1,1,1,3
2026-03-13,0,0,1,1,1,0,0,0
2026-03-14,0,0,1,1,1,0,0,0
2026-03-15,6,3,1,1,1,1,1,3
2026-03-16,6,3,1,1,1,1,0,3
2026-03-17,6,3,1,1,1,1,1,3
2026-03-18,6,3,1,1,1,1,1,3
2026-03-19,6,3,1,1,1,1,0,3
2026-03-20,0,0,1,1,1,0,0,0
2026-03-21,0,0,1,1,1,0,0,0
2026-03-22,6,3,1,1,1,1,1,3
2026-03-23,6,3,1,1,1,1,1,3
2026-03-24,6,3,1,1,1,1,1,3
2026-03-25,6,3,1,1,1,1,0,3
2026-03-26,6,3,1,1,1,1,0,3
2026-03-27,0,0,1,1,1,0,0,0
2026-03-28,0,0,1,1,1,0,0,0
2026-03-29,6,3,1,1,1,1,1,3
2026-03-30,6,3,1,1,1,1,1,3
2026-03-31,6,3,1,1,1,1,1,3
