date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-05-01,6,3,1,1,1,1,1,2
2025-05-02,0,0,1,1,1,0,0,0
2025-05-03,0,0,1,1,1,0,0,0
2025-05-04,6,3,1,1,1,1,1,2
2025-05-05,6,3,1,1,1,1,1,2
2025-05-06,6,3,1,1,1,1,1,2
2025-05-07,6,3,1,1,1,1,0,2
2025-05-08,6,3,1,1,1,1,0,2
2025-05-09,0,0,1,1,1,0,0,0
2025-05-10,0,0,1,1,1,0,0,0
2025-05-11,6,3,1,1,1,1,1,2
2025-05-12,6,3,1,1,1,1,1,2
2025-05-13,6,3,1,1,1,1,1,2
2025-05-14,6,3,1,1,1,1,0,2
2025-05-15,6,3,1,1,1,1,1,2
2025-05-16,0,0,1,1,1,0,0,0
2025-05-17,0,0,1,1,1,0,0,0
2025-05-18,6,3,1,1,1,1,0,2
2025-05-19,6,3,1,1,1,1,1,2
2025-05-20,6,3,1,1,1,1,1,2
2025-05-21,6,3,1,1,1,1,0,2
2025-05-22,6,3,1,1,1,1,0,2
2025-05-23,0,0,1,1,1,0,0,0
2025-05-24,0,0,1,1,1,0,0,0
2025-05-25,6,3,1,1,1,1,1,2
2025-05-26,6,3,1,1,1,1,1,2
2025-05-27,6,3,1,1,1,1,0,2
2025-05-28,6,3,1,1,1,1,1,2
2025-05-29,6,3,1,1,1,1,1,2
2025-05-30,0,0,1,1,1,0,0,0
2025-05-31,0,0,1,1,1,0,0,0
