date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-07-01,6,3,1,1,1,1,1,3
2025-07-02,6,3,1,1,1,1,1,3
2025-07-03,6,3,1,1,1,1,1,3
2025-07-04,0,0,1,1,1,0,0,0
2025-07-05,0,0,1,1,1,0,0,0
2025-07-06,6,3,1,1,1,1,0,3
2025-07-07,6,3,1,1,1,1,0,3
2025-07-08,6,3,1,1,1,1,1,3
2025-07-09,6,3,1,1,1,1,1,3
2025-07-10,6,3,1,1,1,1,1,3
2025-07-11,0,0,1,1,1,0,0,0
2025-07-12,0,0,1,1,1,0,0,0
2025-07-13,6,3,1,1,1,1,1,3
2025-07-14,6,3,1,1,1,1,1,3
2025-07-15,6,3,1,1,1,1,0,3
2025-07-16,6,3,1,1,1,1,0,3
2025-07-17,6,3,1,1,1,1,1,3
2025-07-18,0,0,1,1,1,0,0,0
2025-07-19,0,0,1,1,1,0,0,0
2025-07-20,6,3,1,1,1,1,1,3
2025-07-21,6,3,1,1,1,1,1,3
2025-07-22,6,3,1,1,1,1,0,3
2025-07-23,6,3,1,1,1,1,1,3
2025-07-24,6,3,1,1,1,1,0,3
2025-07-25,0,0,1,1,1,0,0,0
2025-07-26,0,0,1,1,1,0,0,0
2025-07-27,6,3,1,1,1,1,1,3
2025-07-28,6,3,1,1,1,1,1,3
2025-07-29,6,3,1,1,1,1,0,3
2025-07-30,6,3,1,1,1,1,0,3
2025-07-31,6,3,1,1,1,1,1,3
