date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-04-01,6,3,1,1,1,1,1,3
2026-04-02,6,3,1,1,1,1,1,3
2026-04-03,0,0,1,1,1,0,0,0
2026-04-04,0,0,1,1,1,0,0,0
2026-04-05,6,3,1,1,1,1,0,3
2026-04-06,6,3,1,1,1,1,1,3
2026-04-07,6,3,1,1,1,1,0,3
2026-04-08,6,3,1,1,1,1,1,3
2026-04-09,6,3,1,1,1,1,1,3
2026-04-10,0,0,1,1,1,0,0,0
2026-04-11,0,0,1,1,1,0,0,0
2026-04-12,6,3,1,1,1,1,0,3
2026-04-13,6,3,1,1,1,1,0,3
2026-04-14,6,3,1,1,1,1,1,3
2026-04-15,6,3,1,1,1,1,1,3
2026-04-16,6,3,1,1,1,1,1,3
2026-04-17,0,0,1,1,1,0,0,0
2026-04-18,0,0,1,1,1,0,0,0
2026-04-19,6,3,1,1,1,1,1,3
2026-04-20,6,3,1,1,1,1,1,3
2026-04-21,6,3,1,1,1,1,0,3
2026-04-22,6,3,1,1,1,1,1,3
2026-04-23,6,3,1,1,1,1,0,3
2026-04-24,0,0,1,1,1,0,0,0
2026-04-25,0,0,1,1,1,0,0,0
2026-04-26,6,3,1,1,1,1,0,3
2026-04-27,6,3,1,1,1,1,1,3
2026-04-28,6,3,1,1,1,1,0,3
2026-04-29,6,3,1,1,1,1,1,3
2026-04-30,6,3,1,1,1,1,1,3
