date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-04-01,4,3,1,1,1,1,1,2
2025-04-02,4,3,1,1,1,1,0,2
2025-04-03,4,3,1,1,1,1,0,2
2025-04-04,0,0,1,1,1,0,0,0
2025-04-05,0,0,1,1,1,0,0,0
2025-04-06,4,3,1,1,1,1,1,2
2025-04-07,4,3,1,1,1,1,1,2
2025-04-08,4,3,1,1,1,1,0,2
2025-04-09,4,3,1,1,1,1,0,2
2025-04-10,4,3,1,1,1,1,1,2
2025-04-11,0,0,1,1,1,0,0,0
2025-04-12,0,0,1,1,1,0,0,0
2025-04-13,4,3,1,1,1,1,0,2
2025-04-14,4,3,1,1,1,1,1,2
2025-04-15,4,3,1,1,1,1,1,2
2025-04-16,4,3,1,1,1,1,0,2
2025-04-17,4,3,1,1,1,1,0,2
2025-04-18,0,0,1,1,1,0,0,0
2025-04-19,0,0,1,1,1,0,0,0
2025-04-20,4,3,1,1,1,1,0,2
2025-04-21,4,3,1,1,1,1,0,2
2025-04-22,4,3,1,1,1,1,0,2
2025-04-23,4,3,1,1,1,1,1,2
2025-04-24,4,3,1,1,1,1,0,2
2025-04-25,0,0,1,1,1,0,0,0
2025-04-26,0,0,1,1,1,0,0,0
2025-04-27,4,3,1,1,1,1,1,2
2025-04-28,4,3,1,1,1,1,0,2
2025-04-29,4,3,1,1,1,1,1,2
2025-04-30,4,3,1,1,1,1,1,2
