date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-06-01,6,3,1,1,1,1,0,2
2025-06-02,6,3,1,1,1,1,1,2
2025-06-03,6,3,1,1,1,1,1,2
2025-06-04,6,3,1,1,1,1,0,2
2025-06-05,6,3,1,1,1,1,1,2
2025-06-06,0,0,1,1,1,0,0,0
2025-06-07,0,0,1,1,1,0,0,0
2025-06-08,6,3,1,1,1,1,1,2
2025-06-09,6,3,1,1,1,1,1,2
2025-06-10,6,3,1,1,1,1,1,2
2025-06-11,6,3,1,1,1,1,0,2
2025-06-12,6,3,1,1,1,1,0,2
2025-06-13,0,0,1,1,1,0,0,0
2025-06-14,0,0,1,1,1,0,0,0
2025-06-15,6,3,1,1,1,1,1,2
2025-06-16,6,3,1,1,1,1,0,2
2025-06-17,6,3,1,1,1,1,1,2
2025-06-18,6,3,1,1,1,1,0,2
2025-06-19,6,3,1,1,1,1,1,2
2025-06-20,0,0,1,1,1,0,0,0
2025-06-21,0,0,1,1,1,0,0,0
2025-06-22,6,3,1,1,1,1,1,2
2025-06-23,6,3,1,1,1,1,1,2
2025-06-24,6,3,1,1,1,1,1,2
2025-06-25,6,3,1,1,1,1,0,2
2025-06-26,6,3,1,1,1,1,0,2
2025-06-27,0,0,1,1,1,0,0,0
2025-06-28,0,0,1,1,1,0,0,0
2025-06-29,6,3,1,1,1,1,1,2
2025-06-30,6,3,1,1,1,1,1,2
