date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-02-01,0,0,1,1,1,0,0,0
2025-02-02,6,3,1,1,1,1,1,3
2025-02-03,6,3,1,1,1,1,1,3
2025-02-04,6,3,1,1,1,1,1,3
2025-02-05,6,3,1,1,1,1,0,3
2025-02-06,6,3,1,1,1,1,0,3
2025-02-07,0,0,1,1,1,0,0,0
2025-02-08,0,0,1,1,1,0,0,0
2025-02-09,6,3,1,1,1,1,0,3
2025-02-10,6,3,1,1,1,1,0,3
2025-02-11,6,3,1,1,1,1,1,3
2025-02-12,6,3,1,1,1,1,1,3
2025-02-13,6,3,1,1,1,1,1,3
2025-02-14,0,0,1,1,1,0,0,0
2025-02-15,0,0,1,1,1,0,0,0
2025-02-16,6,3,1,1,1,1,1,3
2025-02-17,6,3,1,1,1,1,0,3
2025-02-18,6,3,1,1,1,1,1,3
2025-02-19,6,3,1,1,1,1,1,3
2025-02-20,6,3,1,1,1,1,0,3
2025-02-21,0,0,1,1,1,0,0,0
2025-02-22,0,0,1,1,1,0,0,0
2025-02-23,6,3,1,1,1,1,0,3
2025-02-24,6,3,1,1,1,1,1,3
2025-02-25,6,3,1,1,1,1,1,3
2025-02-26,6,3,1,1,1,1,1,3
2025-02-27,6,3,1,1,1,1,0,3
2025-02-28,0,0,1,1,1,0,0,0
