date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-09-01,6,3,1,1,1,1,1,3
2025-09-02,6,3,1,1,1,1,1,3
2025-09-03,6,3,1,1,1,1,0,3
2025-09-04,6,3,1,1,1,1,1,3
2025-09-05,0,0,1,1,1,0,0,0
2025-09-06,0,0,1,1,1,0,0,0
2025-09-07,6,3,1,1,1,1,0,3
2025-09-08,6,3,1,1,1,1,1,3
2025-09-09,6,3,1,1,1,1,1,3
2025-09-10,6,3,1,1,1,1,0,3
2025-09-11,6,3,1,1,1,1,1,3
2025-09-12,0,0,1,1,1,0,0,0
2025-09-13,0,0,1,1,1,0,0,0
2025-09-14,6,3,1,1,1,1,0,3
2025-09-15,6,3,1,1,1,1,1,3
2025-09-16,6,3,1,1,1,1,0,3
2025-09-17,6,3,1,1,1,1,1,3
2025-09-18,6,3,1,1,1,1,1,3
2025-09-19,0,0,1,1,1,0,0,0
2025-09-20,0,0,1,1,1,0,0,0
2025-09-21,6,3,1,1,1,1,0,3
2025-09-22,6,3,1,1,1,1,0,3
2025-09-23,6,3,1,1,1,1,1,3
2025-09-24,6,3,1,1,1,1,1,3
2025-09-25,6,3,1,1,1,1,1,3
2025-09-26,0,0,1,1,1,0,0,0
2025-09-27,0,0,1,1,1,0,0,0
2025-09-28,6,3,1,1,1,1,1,3
2025-09-29,6,3,1,1,1,1,1,3
2025-09-30,6,3,1,1,1,1,1,3
