date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-03-01,0,0,1,1,1,0,0,0
2025-03-02,6,3,1,1,1,1,1,2
2025-03-03,6,3,1,1,1,1,0,2
2025-03-04,6,3,1,1,1,1,0,2
2025-03-05,6,3,1,1,1,1,1,2
2025-03-06,6,3,1,1,1,1,1,2
2025-03-07,0,0,1,1,1,0,0,0
2025-03-08,0,0,1,1,1,0,0,0
2025-03-09,6,3,1,1,1,1,0,2
2025-03-10,6,3,1,1,1,1,1,2
2025-03-11,6,3,1,1,1,1,1,2
2025-03-12,6,3,1,1,1,1,0,2
2025-03-13,6,3,1,1,1,1,1,2
2025-03-14,0,0,1,1,1,0,0,0
2025-03-15,0,0,1,1,1,0,0,0
2025-03-16,6,3,1,1,1,1,1,2
2025-03-17,6,3,1,1,1,1,0,2
2025-03-18,6,3,1,1,1,1,1,2
2025-03-19,6,3,1,1,1,1,1,2
2025-03-20,6,3,1,1,1,1,0,2
2025-03-21,0,0,1,1,1,0,0,0
2025-03-22,0,0,1,1,1,0,0,0
2025-03-23,6,3,1,1,1,1,1,2
2025-03-24,6,3,1,1,1,1,0,2
2025-03-25,6,3,1,1,1,1,1,2
2025-03-26,6,3,1,1,1,1,0,2
2025-03-27,6,3,1,1,1,1,1,2
2025-03-28,0,0,1,1,1,0,0,0
2025-03-29,0,0,1,1,1,0,0,0
2025-03-30,6,3,1,1,1,1,1,2
2025-03-31,6,3,1,1,1,1,1,2
