date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-12-01,5,4,1,1,1,1,1,2
2025-12-02,4,4,1,1,1,1,0,2
2025-12-03,5,4,1,1,1,1,1,2
2025-12-04,5,4,1,1,1,1,0,2
2025-12-05,0,0,1,1,1,0,0,0
2025-12-06,0,0,1,1,1,0,0,0
2025-12-07,6,3,1,1,1,1,0,2
2025-12-08,5,4,1,1,1,1,1,2
2025-12-09,4,4,1,1,1,1,0,2
2025-12-10,5,4,1,1,1,1,1,2
2025-12-11,5,4,1,1,1,1,0,2
2025-12-12,0,0,1,1,1,0,0,0
2025-12-13,0,0,1,1,1,0,0,0
2025-12-14,6,4,1,1,1,1,0,2
2025-12-15,5,4,1,1,1,1,1,2
2025-12-16,4,3,1,1,1,1,0,2
2025-12-17,5,4,1,1,1,1,1,2
2025-12-18,5,4,1,1,1,1,0,2
2025-12-19,0,0,1,1,1,0,0,0
2025-12-20,0,0,1,1,1,0,0,0
2025-12-21,5,4,1,1,1,1,0,2
2025-12-22,5,4,1,1,1,1,1,2
2025-12-23,4,4,1,1,1,1,0,2
2025-12-24,5,4,1,1,1,1,1,2
2025-12-25,5,3,1,1,1,1,0,2
2025-12-26,0,0,1,1,1,0,0,0
2025-12-27,0,0,1,1,1,0,0,0
2025-12-28,6,3,1,1,1,1,0,2
2025-12-29,5,4,1,1,1,1,1,2
2025-12-30,4,4,1,1,1,1,0,2
2025-12-31,5,4,1,1,1,1,1,2
