date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2026-11-01,6,3,1,1,1,1,0,2
2026-11-02,6,3,1,1,1,1,0,2
2026-11-03,6,3,1,1,1,1,1,2
2026-11-04,6,3,1,1,1,1,1,2
2026-11-05,6,3,1,1,1,1,1,2
2026-11-06,0,0,1,1,1,0,0,0
2026-11-07,0,0,1,1,1,0,0,0
2026-11-08,6,3,1,1,1,1,0,2
2026-11-09,6,3,1,1,1,1,1,2
2026-11-10,6,3,1,1,1,1,1,2
2026-11-11,6,3,1,1,1,1,0,2
2026-11-12,6,3,1,1,1,1,1,2
2026-11-13,0,0,1,1,1,0,0,0
2026-11-14,0,0,1,1,1,0,0,0
2026-11-15,6,3,1,1,1,1,0,2
2026-11-16,6,3,1,1,1,1,1,2
2026-11-17,6,3,1,1,1,1,0,2
2026-11-18,6,3,1,1,1,1,1,2
2026-11-19,6,3,1,1,1,1,1,2
2026-11-20,0,0,1,1,1,0,0,0
2026-11-21,0,0,1,1,1,0,0,0
2026-11-22,6,3,1,1,1,1,1,2
2026-11-23,6,3,1,1,1,1,1,2
2026-11-24,6,3,1,1,1,1,0,2
2026-11-25,6,3,1,1,1,1,0,2
2026-11-26,6,3,1,1,1,1,1,2
2026-11-27,0,0,1,1,1,0,0,0
2026-11-28,0,0,1,1,1,0,0,0
2026-11-29,6,3,1,1,1,1,1,2
2026-11-30,6,3,1,1,1,1,1,2
