date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-08-01,0,0,1,1,1,0,0,0
2025-08-02,0,0,1,1,1,0,0,0
2025-08-03,6,3,1,1,1,1,0,2
2025-08-04,6,3,1,1,1,1,1,2
2025-08-05,6,3,1,1,1,1,1,2
2025-08-06,6,3,1,1,1,1,1,2
2025-08-07,6,3,1,1,1,1,0,2
2025-08-08,0,0,1,1,1,0,0,0
2025-08-09,0,0,1,1,1,0,0,0
2025-08-10,6,3,1,1,1,1,0,2
2025-08-11,6,3,1,1,1,1,0,2
2025-08-12,6,3,1,1,1,1,1,2
2025-08-13,6,3,1,1,1,1,1,2
2025-08-14,6,3,1,1,1,1,1,2
2025-08-15,0,0,1,1,1,0,0,0
2025-08-16,0,0,1,1,1,0,0,0
2025-08-17,6,3,1,1,1,1,1,2
2025-08-18,6,3,1,1,1,1,0,2
2025-08-19,6,3,1,1,1,1,1,2
2025-08-20,6,3,1,1,1,1,1,2
2025-08-21,6,3,1,1,1,1,0,2
2025-08-22,0,0,1,1,1,0,0,0
2025-08-23,0,0,1,1,1,0,0,0
2025-08-24,6,3,1,1,1,1,0,2
2025-08-25,6,3,1,1,1,1,1,2
2025-08-26,6,3,1,1,1,1,1,2
2025-08-27,6,3,1,1,1,1,1,2
2025-08-28,6,3,1,1,1,1,0,2
2025-08-29,0,0,1,1,1,0,0,0
2025-08-30,0,0,1,1,1,0,0,0
2025-08-31,6,3,1,1,1,1,1,2
