date,need_M,need_IP,need_A,need_N,need_M3,need_M4,need_H,need_CL
2025-10-01,6,3,1,1,1,1,1,3
2025-10-02,6,3,1,1,1,1,1,3
2025-10-03,0,0,1,1,1,0,0,0
2025-10-04,0,0,1,1,1,0,0,0
2025-10-05,6,3,1,1,1,1,1,3
2025-10-06,6,3,1,1,1,1,0,3
2025-10-07,6,3,1,1,1,1,1,3
2025-10-08,6,3,1,1,1,1,1,3
2025-10-09,6,3,1,1,1,1,0,3
2025-10-10,0,0,1,1,1,0,0,0
2025-10-11,0,0,1,1,1,0,0,0
2025-10-12,6,3,1,1,1,1,1,3
2025-10-13,6,3,1,1,1,1,0,3
2025-10-14,6,3,1,1,1,1,1,3
2025-10-15,6,3,1,1,1,1,1,3
2025-10-16,6,3,1,1,1,1,0,3
2025-10-17,0,0,1,1,1,0,0,0
2025-10-18,0,0,1,1,1,0,0,0
2025-10-19,6,3,1,1,1,1,1,3
2025-10-20,6,3,1,1,1,1,1,3
2025-10-21,6,3,1,1,1,1,1,3
2025-10-22,6,3,1,1,1,1,0,3
2025-10-23,6,3,1,1,1,1,0,3
2025-10-24,0,0,1,1,1,0,0,0
2025-10-25,0,0,1,1,1,0,0,0
2025-10-26,6,3,1,1,1,1,0,3
2025-10-27,6,3,1,1,1,1,1,3
2025-10-28,6,3,1,1,1,1,0,2
2025-10-29,6,3,1,1,1,1,1,3
2025-10-30,6,3,1,1,1,1,1,3
2025-10-31,0,0,1,1,1,0,0,0
